2026-02-07 11:59:41,310 | BASE_PAGE | INFO | Opening the url "./#/dashboard"
2026-02-07 11:59:43,147 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:43,147 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:43,159 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 11:59:43,159 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 11:59:43,168 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 11:59:43,168 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:43,176 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 11:59:43,176 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Students'
2026-02-07 11:59:43,183 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-bar-chart at index 0
2026-02-07 11:59:43,183 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 11:59:43,189 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 11:59:43,190 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:43,197 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 11:59:43,197 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Activities'
2026-02-07 11:59:43,207 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-line-chart at index 0
2026-02-07 11:59:43,207 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 11:59:43,215 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 11:59:43,216 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:43,225 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 11:59:43,225 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 11:59:43,234 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-pie-chart at index 0
2026-02-07 11:59:43,235 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 11:59:43,241 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 11:59:43,241 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 11:59:43,250 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 11:59:43,250 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Scores'
2026-02-07 11:59:43,256 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-scatter-chart at index 0
2026-02-07 11:59:43,256 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
