2026-02-07 12:04:59,261 | BASE_PAGE | INFO | Opening the url "./#/dashboard"
2026-02-07 12:05:01,095 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:05:01,108 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-07 12:05:01,108 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-07 12:05:01,117 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:05:01,117 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,126 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-07 12:05:01,126 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 12:05:01,134 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-07 12:05:01,134 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-07 12:05:01,150 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:05:01,150 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,165 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-07 12:05:01,165 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-07 12:05:01,182 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 12:05:01,182 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,208 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-widget-title-text at index 0
2026-02-07 12:05:01,208 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Students'
2026-02-07 12:05:01,232 | BASE_ELEMENT | INFO | Getting locator with data-testid=students-bar-chart at index 0
2026-02-07 12:05:01,232 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 12:05:01,253 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 12:05:01,253 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,265 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-widget-title-text at index 0
2026-02-07 12:05:01,266 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Activities'
2026-02-07 12:05:01,277 | BASE_ELEMENT | INFO | Getting locator with data-testid=activities-line-chart at index 0
2026-02-07 12:05:01,277 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 12:05:01,288 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 12:05:01,288 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,300 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-widget-title-text at index 0
2026-02-07 12:05:01,300 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-07 12:05:01,310 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-pie-chart at index 0
2026-02-07 12:05:01,310 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
2026-02-07 12:05:01,325 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 12:05:01,325 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:05:01,333 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-widget-title-text at index 0
2026-02-07 12:05:01,333 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Scores'
2026-02-07 12:05:01,342 | BASE_ELEMENT | INFO | Getting locator with data-testid=scores-scatter-chart at index 0
2026-02-07 12:05:01,342 | BASE_ELEMENT | INFO | Checking  that chart 'Chart is visible'
